,breed,fur,fur_color,gender,life_expectancy
1,Bulldog Francés,Corto,Gris,Hembra,10
2,french poodle,Corto,Blanco,Macho,16
4,Bulldog Francés,Corto,Gris,Hembra,10
5,French Minitoy,Corto,Blanco,Hembra,18
6,Pomeranian,Largo,Blanco,Hembra,16
7,American Bully,Corto,Gris,Macho,20
8,West Highland White Terrier,Largo,,Macho,15
9,Bichón Maltés,Largo,Blanco,Macho,15
12,Bulldog Francés,Corto,Gris,Macho,10
13,Bulldog Francés,Corto,Crema,Hembra,14
14,Akita Américanos,,,Hembra,
15,Bulldog Francés,Corto,,Hembra,14
16,Beagles,Corto,,Hembra,12
17,Shitzu,,,Hembra,
18,french poodle minitoy,Largo,Chocolate,Hembra,15
19,Husky Siberiano,Largo,Negro,,15
20,Pug,Corto,Gris,Macho,15
22,Cocker,Corto,Café,Hembra,13
23,Shitzu,Corto,Blanco,Hembra,14
26,Shih Tzu,Largo,Tricolor,Hembra,16
27,Pomerania,Largo,Blanco,,16
29,Bulldog Inglés,Corto,Blanco,Hembra,8
30,Yorkies terrier,Largo,Negro,Hembra,15
31,Bichos maltés,Largo,Blanco,Hembra,15
32,Shitzus,Corto,Blanco,Macho,10
33,Pastor australiano (Mini Aussies,Largo,azul merle,Macho,15
34,Pastor  Alemán,Largo,Negro/Fuego,Macho,13
35,Bulldog Inglés,Corto,Blanco,Macho,10
36,Bulldog Francés,Corto,Negro,Hembra,14
38,Yorkshire Terrier,Largo,,,16
41,Border Collie,Largo,Bicolor,,17
42,Schnauzer miniatura blanco,Largo,Blanco,Macho,15
43,Samoyedo,Largo,Blanco,,13
45,Bulldog Francés,Corto,blanco y negro,Macho,14
46,Pomeranian,Largo,Blanco,Hembra,15
47,Bulldog Francés,Corto,Gris oscuro,Macho,14
48,Pomerania,Largo,Blanco,,16
49,Jack Russell Terrier,Corto,Bicolor,,16
50,Bulldog Francés,Corto,Gris oscuro,Macho,14
51,Pomerania a,Largo,Negro,Hembra,12
52,Pura,Largo,Negro,Hembra,16
54,Bulldog Inglés,Corto,Negro,Macho,10
55,West Highland Terrier,Largo,Blanco,,14
56,Yorkies,Largo,Negro,Hembra,15
57,Golden Retriever,Largo,Dorado,Macho,12
58,Westy white,Largo,Blanco,Hembra,15
59,Akita Americano,Corto,Negro,Macho,10
60,Pug,Corto,,Hembra,15
63,Pitbull,Corto,Blanco,Macho,14
65,PUG CARLINO,Corto,Beige,Macho,10
66,Bichón Maltés,Largo,Blanco,Hembra,15
68,Labrador,Corto,Chocolate,Macho,18
70,Akita,,cafe y blanco,,
72,Golden Retriever,Corto,Beige,Macho,10
73,PUG CARLINO,Corto,Beige albaricoque,Macho,15
74,Pastor alemán,Largo,Negro/Fuego,Macho,15
75,Salchicha,Corto,Negro,Hembra,16
77,French Poodle Minitoy Chocolate,Corto,Chocolate,Hembra,17
78,Husky Siberianos,Corto,Blanco,Hembra,8
79,Bulldog Francés,Corto,Blanco,Hembra,8
80,Shnauzer Miniatura,Corto,salpimienta,Macho,12
81,Bulldog Inglés,Corto,Marrón,Macho,10
82,San Bernardo,Corto,Marrón claro,Macho,8
83,Yorkies,Largo,Negro,Hembra,15
84,French,Largo,Blanco,Macho,18
85,Bulldog Inglés,Corto,Marrón claro,Macho,10
86,Schnauzer,Largo,Blanco,Hembra,16
87,Pastor Inglés,Largo,Bicolor,,15
88,French poodle minitoy,Largo,Marrón,Macho,20
90,FRENCH POODLE,Largo,Blanco,,20
91,French,Corto,Blanco,Macho,12
92,Cocker machos y hembras,Corto,Beige,Hembra,20
93,Bulldog Inglés,Corto,Gris oscuro,Macho,10
94,pastor aleman,Largo,Negro,Macho,13
95,Shih Tzu  Shitzu,Largo,Tricolor,Hembra,16
100,Pitbull,Corto,Beige,Hembra,14
101,Doberman Europeo,Corto,Negro,Macho,12
103,Labrador Retriever,Corto,,,14
104,Schnauzer,Corto,,Hembra,16
106,Golden Retriever,Largo,Dorado,Hembra,12
107,Pomerania macho y hembra,Largo,Arena,Hembra,20
108,French,Largo,Blanco,Macho,15
109,Bulldog Inglés,Corto,Marrón claro,Hembra,10
110,Bulldog Francés,Corto,Gris,Hembra,10
111,Beagle,Corto,Blanco,Hembra,15
112,Shih Tzu  Shitzu,Largo,Tricolor,Hembra,16
113,Shih Tzu  Shitzu,Largo,Blanco Y Negro,Hembra,16
114,Shih Tzu  Shitzu,Largo,Blanco,Hembra,16
115,French Minitoy,Corto,Blanco,Macho,12
116,Terrier Escocés,Largo,Negro,Macho,15
117,French,Corto,Marrón,Hembra,16
119,Bulldog Francés,Corto,Gris,Hembra,14
120,Shih Tzu,Largo,Tricolor,Hembra,16
121,Bulldog Francés,Corto,Blanco,Macho,14
122,Beagle,Corto,Blanco,Macho,15
123,Bichón Maltés,Largo,Blanco,Hembra,15
124,Yorkshire Terrier,Largo,Negro/Fuego,,16
125,Cocker spaniel,Largo,Beige,Hembra,14
126,Bulldog Inglés,Corto,Marrón oscuro,Macho,10
127,San Bernardo,Largo,café con blanco,Hembra,15
128,Cocker,,,Macho,
129,Shih Tzu,Largo,Tricolor,,16
130,French poodle chocolates,Corto,Marrón,Hembra,14
131,French poodle toy,Largo,Negro,Hembra,15
134,Boston Terrier,Corto,BLANCO Y NEGRO,Macho,15
135,Bulldog Inglés,Corto,Blanco,Hembra,10
137,Golden Retrieever,Corto,Marrón claro,Hembra,8
139,Chihuahua,Corto,Blanco,,20
140,Pomerania,Largo,Negro,Hembra,16
142,french poodle minitoy,Largo,Blanco,Hembra,15
143,Pastor australiano,Corto,Blu Merle,Macho,15
145,Ovejero Alemán,Largo,Marrón oscuro,,13
146,Jack Russell Terrier,Corto,Tricolor,Hembra,10
147,Pastor australiano aussie,Largo,Azul mirlo,Macho,15
148,French poodle mini toy,Largo,Chocolate,Hembra,15
149,Shitzu,Largo,Negro,,15
150,Yorkshire Terrier,Largo,Negro/Fuego,,16
152,Schnauzer Mini,,Blanco,,
153,Mastín Napolitano,Corto,Beige,,10
154,Golden Retriever,Largo,Dorado,Hembra,12
155,Bulldog Francés,Corto,Negro,Macho,14
156,Pastor Alemán,Largo,Negro,Hembra,13
157,French,Corto,Chocolate,Macho,16
158,Pastor Aleman,Largo,Negro,Macho,13
159,Hasky siberiano,Corto,Blanco,Macho,15
161,Bulldog Inglés,Corto,Marrón claro,Hembra,10
163,Husky Siberiano,Largo,,Hembra,15
165,Golden Retriever,Largo,Dorado,Macho,12
166,Bulldog Francés,Corto,Gris,Macho,5
167,Husky Siberiano,Corto,Negro,,15
168,Ovejero Alemán,Largo,Negro,,13
169,Cachorros lulú de Pomerania,Largo,Blanco,Macho,20
170,Pitbull,,Blanco,Hembra,2
171,Bulldog Inglés,Corto,Bicolor,,10
173,Pitbull,Corto,Blanco,Hembra,14
174,Shih Tzu,Largo,Tricolor,Macho,16
176,Pug,Corto,negro y gris,,15
178,Salchichas,Corto,Negro/Fuego,Macho,15
180,Shih Tzu,Largo,Tricolor,Hembra,16
181,Frech miniyoy,Corto,,Macho,12
182,Golden Retriever,Largo,Dorado,Macho,12
183,Pastor aleman,Largo,Negro,,15
